ID_REF,mean_PE,mean_nonPE,log2FC,abs_log2FC
ILMN_1656636,5.6730365498260875,5.650242619243244,0.022793930582843736,0.022793930582843736
ILMN_1656637,5.634492820652173,5.644983416270271,-0.010490595618097842,0.010490595618097842
ILMN_1656638,5.451560247217391,5.461056032810811,-0.009495785593419903,0.009495785593419903
ILMN_1656647,5.625164104652173,5.563153720486488,0.06201038416568494,0.06201038416568494
ILMN_1656651,6.8678433534347825,6.917639854972973,-0.04979650153819026,0.04979650153819026
ILMN_1656655,5.686100792869565,5.708148660756758,-0.02204786788719293,0.02204786788719293
ILMN_1656656,7.395620068913043,7.190521075297299,0.2050989936157448,0.2050989936157448
ILMN_1656662,11.8085206126087,11.768072918648649,0.04044769396005066,0.04044769396005066
ILMN_1656670,9.484897777217391,9.065337646216216,0.41956013100117495,0.41956013100117495
ILMN_1656672,5.350190137608696,5.346429646594594,0.00376049101410203,0.00376049101410203
ILMN_1656676,8.899981883913043,8.941429372675676,-0.04144748876263371,0.04144748876263371
ILMN_1656678,5.574714476652174,5.599583146621622,-0.024868669969448476,0.024868669969448476
ILMN_1656682,10.913130275217389,11.074315889189192,-0.16118561397180287,0.16118561397180287
ILMN_1656684,5.392821841913044,5.398777082297298,-0.00595524038425399,0.00595524038425399
ILMN_1656687,5.550463804869565,5.575415734135135,-0.024951929265569994,0.024951929265569994
ILMN_1656691,6.284563137608696,6.378739041027026,-0.09417590341832938,0.09417590341832938
ILMN_1656697,5.521128537826086,5.535033195648651,-0.013904657822565447,0.013904657822565447
ILMN_1656698,5.626924655391305,5.612052378108109,0.014872277283195956,0.014872277283195956
ILMN_1656706,5.57795247047826,5.560368866189188,0.017583604289071353,0.017583604289071353
ILMN_1656713,5.524856680869567,5.529777129621621,-0.00492044875205444,0.00492044875205444
ILMN_1656715,5.54485155926087,5.558409526729729,-0.013557967468859289,0.013557967468859289
ILMN_1656720,5.489088130782608,5.488952959324323,0.00013517145828423338,0.00013517145828423338
ILMN_1656722,5.7049818926086955,5.698545726864865,0.006436165743830102,0.006436165743830102
ILMN_1656724,5.819179639260871,5.780646947621621,0.03853269163924988,0.03853269163924988
ILMN_1656732,5.435524013913044,5.431060879513512,0.004463134399531832,0.004463134399531832
ILMN_1656743,5.4637134018695654,5.474308377216217,-0.010594975346651658,0.010594975346651658
ILMN_1656744,5.673674671173914,5.658590277189189,0.01508439398472472,0.01508439398472472
ILMN_1656746,5.678307140695653,5.629624163702704,0.0486829769929491,0.0486829769929491
ILMN_1656761,5.713335257826086,5.724601666243243,-0.011266408417156981,0.011266408417156981
ILMN_1656767,5.300820316130435,5.292777618054055,0.008042698076379473,0.008042698076379473
ILMN_1656772,5.6646662360869575,5.614359850756757,0.0503063853302006,0.0503063853302006
ILMN_1656773,5.613851439217392,5.611409932,0.0024415072173917807,0.0024415072173917807
ILMN_1656779,5.5525398882173915,5.54738755127027,0.005152336947121583,0.005152336947121583
ILMN_1656791,13.02156473043478,13.129697504594592,-0.10813277415981126,0.10813277415981126
ILMN_1656792,6.214976505913042,6.176742520324324,0.038233985588718156,0.038233985588718156
ILMN_1656798,5.67839631621739,5.679860571108108,-0.0014642548907177755,0.0014642548907177755
ILMN_1656801,5.571662238043479,5.555138616648648,0.01652362139483099,0.01652362139483099
ILMN_1656802,5.681436235869565,5.671981660783784,0.009454575085781514,0.009454575085781514
ILMN_1656807,12.563767601739128,12.548706454594594,0.015061147144534104,0.015061147144534104
ILMN_1656809,5.8008579606521735,5.808747670135135,-0.007889709482961749,0.007889709482961749
ILMN_1656812,5.457531400478262,5.480840081729729,-0.02330868125146779,0.02330868125146779
ILMN_1656817,5.52058128447826,5.523183750513513,-0.0026024660352534923,0.0026024660352534923
ILMN_1656818,5.4872325464782605,5.501537484135137,-0.014304937656876682,0.014304937656876682
ILMN_1656822,8.263991152695652,8.00650831908108,0.25748283361457247,0.25748283361457247
ILMN_1656826,6.832074164173912,6.82512070108108,0.006953463092831846,0.006953463092831846
ILMN_1656837,8.887783257130433,8.590791800027029,0.29699145710340424,0.29699145710340424
ILMN_1656839,5.688693470043478,5.673284446864866,0.015409023178611925,0.015409023178611925
ILMN_1656840,6.348620330913043,6.322667459567567,0.02595287134547597,0.02595287134547597
ILMN_1656842,5.423058075217391,5.46306212972973,-0.04000405451233924,0.04000405451233924
ILMN_1656846,5.7499351684782605,5.7296055274594595,0.02032964101880097,0.02032964101880097
ILMN_1656847,5.593388614434784,5.5934651551891905,-7.654075440655106e-05,7.654075440655106e-05
ILMN_1656849,5.578989277782609,5.556444316918919,0.022544960863690733,0.022544960863690733
ILMN_1656853,5.413260364173913,5.405812353783784,0.007448010390129767,0.007448010390129767
ILMN_1656863,5.542146444695653,5.528120116135134,0.014026328560519552,0.014026328560519552
ILMN_1656865,5.430051269434782,5.409329565297297,0.020721704137485197,0.020721704137485197
ILMN_1656867,5.594303505739129,5.596348435702703,-0.0020449299635743046,0.0020449299635743046
ILMN_1656868,10.645833841304347,10.195259648108108,0.45057419319623904,0.45057419319623904
ILMN_1656869,6.103031830521738,6.090057585621622,0.012974244900116005,0.012974244900116005
ILMN_1656871,5.5280032993043475,5.585234972351353,-0.057231673047005494,0.057231673047005494
ILMN_1656879,5.5293073555652175,5.514253578648647,0.015053776916570172,0.015053776916570172
ILMN_1656882,5.549766387695653,5.520527867945947,0.029238519749706704,0.029238519749706704
